user;cpu_percent;cpu_frequency;ram_percent;swap_memory_total;swap_memory_used;swap_memory_percent;upload_speed;download_speed;temperature;fans_speed;disk;gpu_usage;gpu_energy;timestamp
14:7f:ce:d1:b4:42;14.1;3.5;78.7;11.0;9.99;90.8;7.56;4.38;66.6;3570.4;38.25;89.0;200.4;2026-09-01 18:49:52.475606
14:7f:ce:d1:b4:42;19.9;3.5;78.5;11.0;9.97;90.6;7.82;4.27;69.4;3791.6;38.25;97.8;217.8;2026-09-01 18:50:02.471345
14:7f:ce:d1:b4:42;16.0;3.6;78.3;11.0;9.94;90.4;7.58;4.27;69.8;3811.9;38.27;98.8;221.2;2026-09-01 18:50:12.477952
14:7f:ce:d1:b4:42;24.7;3.5;77.9;11.0;9.94;90.4;7.75;4.33;69.6;3833.7;38.27;98.2;220.1;2026-09-01 18:50:22.479705
14:7f:ce:d1:b4:42;25.0;3.4;78.9;11.0;9.98;90.7;7.52;4.41;69.4;3799.3;38.25;99.1;225.3;2026-09-01 18:50:32.475397
14:7f:ce:d1:b4:42;15.7;3.5;78.9;11.0;10.01;91.0;7.73;4.23;70.0;3805.8;38.27;98.5;223.4;2026-09-01 18:50:42.461627
14:7f:ce:d1:b4:42;20.8;3.5;78.4;11.0;9.99;90.8;7.68;4.23;69.9;3811.1;38.26;98.6;221.6;2026-09-01 18:50:52.473909
14:7f:ce:d1:b4:42;18.8;3.6;79.4;11.0;10.03;91.2;7.74;4.26;69.8;3817.1;38.26;98.1;219.5;2026-09-01 18:51:02.463811
14:7f:ce:d1:b4:42;22.2;3.6;79.5;11.0;10.04;91.3;7.7;4.22;69.3;3756.0;38.27;98.0;222.5;2026-09-01 18:51:12.470941
14:7f:ce:d1:b4:42;27.0;3.5;79.0;11.0;10.01;91.0;7.65;4.38;69.8;3855.5;38.27;99.3;224.4;2026-09-01 18:51:22.469999
14:7f:ce:d1:b4:42;20.9;3.4;79.1;11.0;10.03;91.2;7.68;4.32;69.7;3796.2;38.27;98.7;225.1;2026-09-01 18:51:32.463969
14:7f:ce:d1:b4:42;18.5;3.6;79.1;11.0;10.04;91.3;7.72;4.27;69.8;3766.5;38.25;98.0;216.9;2026-09-01 18:51:42.470131
14:7f:ce:d1:b4:42;17.4;3.5;79.8;11.0;10.03;91.2;8.16;4.46;69.4;3764.9;38.27;97.7;216.6;2026-09-01 18:51:52.467961
14:7f:ce:d1:b4:42;25.4;3.5;80.6;11.0;10.12;92.0;7.6;4.4;69.1;3762.7;38.26;97.1;215.2;2026-09-01 18:52:02.465371
14:7f:ce:d1:b4:42;24.4;3.5;79.2;11.0;10.03;91.2;7.62;4.56;70.5;3902.5;38.27;98.7;223.5;2026-09-01 18:52:12.459888
