user;cpu_percent;cpu_frequency;ram_percent;swap_memory_total;swap_memory_used;swap_memory_percent;upload_speed;download_speed;temperature;fans_speed;disk;gpu_usage;gpu_energy;timestamp
70:85:c2:d9:ea:11;20.5;3.8;81.8;16.0;12.39;77.4;8.22;5.1;82.9;4819.6;45.11;91.5;236.1;2026-09-01 18:49:52.475606
70:85:c2:d9:ea:11;25.9;3.8;82.4;16.0;12.45;77.8;8.3;5.13;83.6;4868.2;45.1;91.9;228.1;2026-09-01 18:50:02.471345
70:85:c2:d9:ea:11;27.0;3.8;81.9;16.0;12.38;77.4;8.33;4.94;82.8;4833.6;45.09;90.6;239.2;2026-09-01 18:50:12.477952
70:85:c2:d9:ea:11;24.6;3.8;83.2;16.0;12.48;78.0;14.53;9.19;83.4;4838.3;45.09;91.1;235.0;2026-09-01 18:50:22.479705
70:85:c2:d9:ea:11;26.6;3.7;82.5;16.0;12.39;77.4;8.0;5.19;83.2;4821.0;45.11;93.3;230.3;2026-09-01 18:50:32.475397
70:85:c2:d9:ea:11;30.7;3.9;81.9;16.0;12.36;77.2;8.09;5.12;83.2;4832.0;45.1;90.3;236.4;2026-09-01 18:50:42.461627
70:85:c2:d9:ea:11;25.8;3.7;81.6;16.0;12.4;77.5;8.26;5.3;84.2;4846.4;45.09;91.3;226.6;2026-09-01 18:50:52.473909
70:85:c2:d9:ea:11;24.7;3.9;82.7;16.0;12.43;77.7;8.45;4.88;83.6;4865.7;45.12;91.7;228.8;2026-09-01 18:51:02.463811
70:85:c2:d9:ea:11;26.6;3.8;83.1;16.0;12.46;77.9;8.16;5.24;82.7;4865.9;45.1;90.3;230.6;2026-09-01 18:51:12.470941
70:85:c2:d9:ea:11;29.7;3.7;83.3;16.0;12.5;78.1;8.53;5.0;83.2;4838.6;45.1;89.6;228.8;2026-09-01 18:51:22.469999
70:85:c2:d9:ea:11;23.1;3.7;82.7;16.0;12.45;77.8;8.36;5.28;83.3;4851.7;45.1;92.5;236.5;2026-09-01 18:51:32.463969
70:85:c2:d9:ea:11;36.2;3.8;82.9;16.0;12.43;77.7;8.31;5.07;83.4;4837.8;45.13;91.6;229.0;2026-09-01 18:51:42.470131
70:85:c2:d9:ea:11;24.5;3.8;83.5;16.0;12.48;78.0;7.97;5.12;82.5;4888.6;45.1;93.8;226.5;2026-09-01 18:51:52.467961
