user;cpu_percent;cpu_frequency;ram_percent;swap_memory_total;swap_memory_used;swap_memory_percent;upload_speed;download_speed;temperature;fans_speed;disk;gpu_usage;gpu_energy;timestamp
a0:36:bc:88:1f:90;45.9;2.9;65.2;8.0;3.2;40.0;14.5;12.67;71.5;4606.3;29.81;0.0;0.0;2026-09-01 18:49:52.475606
a0:36:bc:88:1f:90;47.1;2.9;65.6;8.0;3.24;40.5;14.55;12.72;72.6;4598.9;29.8;0.0;0.0;2026-09-01 18:50:02.471345
a0:36:bc:88:1f:90;46.8;2.9;65.3;8.0;3.17;39.6;14.54;12.79;72.0;4601.8;29.78;0.0;0.0;2026-09-01 18:50:12.477952
a0:36:bc:88:1f:90;43.2;2.9;65.7;8.0;3.21;40.1;14.7;13.1;71.9;4556.8;29.8;0.0;0.0;2026-09-01 18:50:22.479705
a0:36:bc:88:1f:90;42.1;2.8;65.1;8.0;3.26;40.8;14.36;12.92;71.9;4596.3;29.8;0.0;0.0;2026-09-01 18:50:32.475397
a0:36:bc:88:1f:90;50.0;2.9;64.3;8.0;3.17;39.6;14.43;12.93;71.6;4578.5;29.8;0.0;0.0;2026-09-01 18:50:42.461627
a0:36:bc:88:1f:90;53.1;2.9;65.8;8.0;3.25;40.6;14.82;12.74;72.2;4695.6;29.8;0.0;0.0;2026-09-01 18:50:52.473909
a0:36:bc:88:1f:90;48.0;3.0;65.9;8.0;3.22;40.2;14.41;12.64;73.3;4553.7;29.8;0.0;0.0;2026-09-01 18:51:02.463811
a0:36:bc:88:1f:90;48.6;2.9;65.7;8.0;3.23;40.4;14.7;12.69;71.9;4569.4;29.78;0.0;0.0;2026-09-01 18:51:12.470941
a0:36:bc:88:1f:90;48.8;2.8;65.4;8.0;3.19;39.9;26.0;22.85;72.3;4596.3;29.79;0.0;0.0;2026-09-01 18:51:22.469999
a0:36:bc:88:1f:90;54.2;2.9;65.3;8.0;3.27;40.9;14.59;12.95;72.0;4648.3;29.81;0.0;0.0;2026-09-01 18:51:32.463969
a0:36:bc:88:1f:90;47.2;3.0;66.7;8.0;3.33;41.6;14.32;12.66;71.6;4603.7;29.81;0.0;0.0;2026-09-01 18:51:42.470131
a0:36:bc:88:1f:90;47.3;2.9;67.0;8.0;3.33;41.6;14.27;12.66;72.3;4599.7;29.81;0.0;0.0;2026-09-01 18:51:52.467961
a0:36:bc:88:1f:90;50.6;3.0;67.3;8.0;3.3;41.2;14.42;12.98;71.5;4605.5;29.8;0.0;0.0;2026-09-01 18:52:02.465371
a0:36:bc:88:1f:90;57.8;2.9;65.6;8.0;3.24;40.5;14.62;12.7;71.8;4614.4;29.81;0.0;0.0;2026-09-01 18:52:12.459888
a0:36:bc:88:1f:90;48.6;2.8;66.0;8.0;3.27;40.9;14.41;12.78;71.8;4625.6;29.82;0.0;0.0;2026-09-01 18:52:22.474193
a0:36:bc:88:1f:90;50.7;2.8;65.7;8.0;3.23;40.4;14.58;12.76;72.1;4592.3;29.82;0.0;0.0;2026-09-01 18:52:32.465110
a0:36:bc:88:1f:90;49.8;2.8;67.4;8.0;3.26;40.8;14.38;12.99;71.5;4568.7;29.82;0.0;0.0;2026-09-01 18:52:42.467781
a0:36:bc:88:1f:90;43.8;2.9;65.8;8.0;3.24;40.5;14.25;12.92;72.1;4605.4;29.81;0.0;0.0;2026-09-01 18:52:52.472686
a0:36:bc:88:1f:90;54.1;2.9;65.7;8.0;3.29;41.1;14.12;12.96;71.2;4605.3;29.82;0.0;0.0;2026-09-01 18:53:02.461152
a0:36:bc:88:1f:90;48.5;2.9;66.2;8.0;3.26;40.8;14.43;12.87;71.8;4614.1;29.81;0.0;0.0;2026-09-01 18:53:12.464157
a0:36:bc:88:1f:90;50.1;2.9;67.0;8.0;3.3;41.2;14.67;12.81;71.8;4586.1;29.81;0.0;0.0;2026-09-01 18:53:22.467717
a0:36:bc:88:1f:90;54.9;2.9;67.6;8.0;3.32;41.5;14.41;12.78;72.5;4583.0;29.81;0.0;0.0;2026-09-01 18:53:32.463552
a0:36:bc:88:1f:90;50.1;2.9;66.0;8.0;3.27;40.9;14.75;12.98;71.4;4582.8;29.82;0.0;0.0;2026-09-01 18:53:42.473809
a0:36:bc:88:1f:90;49.6;2.9;66.5;8.0;3.27;40.9;14.76;12.97;72.3;4638.0;29.8;0.0;0.0;2026-09-01 18:53:52.477584
a0:36:bc:88:1f:90;50.1;2.9;67.0;8.0;3.33;41.6;14.61;13.17;73.0;4612.4;29.82;0.0;0.0;2026-09-01 18:54:02.463920
a0:36:bc:88:1f:90;39.4;3.0;66.1;8.0;3.27;40.9;14.43;12.88;71.7;4615.6;29.8;0.0;0.0;2026-09-01 18:54:12.479153
a0:36:bc:88:1f:90;43.8;2.9;66.2;8.0;3.26;40.8;14.5;12.82;71.8;4608.4;29.82;0.0;0.0;2026-09-01 18:54:22.477469
a0:36:bc:88:1f:90;48.4;2.9;68.0;8.0;3.38;42.2;14.65;12.53;72.0;4633.8;29.81;0.0;0.0;2026-09-01 18:54:32.476769
a0:36:bc:88:1f:90;41.8;2.9;66.8;8.0;3.27;40.9;14.48;12.86;72.1;4667.5;29.79;0.0;0.0;2026-09-01 18:54:42.475984
a0:36:bc:88:1f:90;49.0;2.8;66.4;8.0;3.28;41.0;14.68;12.82;72.3;4560.7;29.82;0.0;0.0;2026-09-01 18:54:52.461127
a0:36:bc:88:1f:90;42.6;2.9;67.5;8.0;3.33;41.6;14.55;12.65;71.7;4564.8;29.82;0.0;0.0;2026-09-01 18:55:02.470567
a0:36:bc:88:1f:90;39.7;2.9;67.3;8.0;3.29;41.1;14.45;12.86;71.3;4580.6;29.82;0.0;0.0;2026-09-01 18:55:12.464217
a0:36:bc:88:1f:90;42.6;3.0;67.2;8.0;3.31;41.4;14.47;12.73;71.4;4605.5;29.82;0.0;0.0;2026-09-01 18:55:22.469956
a0:36:bc:88:1f:90;42.7;2.9;67.5;8.0;3.3;41.2;14.35;12.88;71.8;4586.9;29.83;0.0;0.0;2026-09-01 18:55:32.470560
a0:36:bc:88:1f:90;40.3;2.9;67.3;8.0;3.29;41.1;14.67;12.84;71.5;4618.2;29.8;0.0;0.0;2026-09-01 18:55:42.466790
a0:36:bc:88:1f:90;41.0;2.9;67.7;8.0;3.32;41.5;14.72;12.94;72.1;4609.6;29.82;0.0;0.0;2026-09-01 18:55:52.472868
a0:36:bc:88:1f:90;37.2;2.9;66.6;8.0;3.3;41.2;14.6;12.66;71.7;4544.0;29.82;0.0;0.0;2026-09-01 18:56:02.465062
a0:36:bc:88:1f:90;39.7;2.8;66.8;8.0;3.29;41.1;14.47;12.84;71.7;4572.3;29.82;0.0;0.0;2026-09-01 18:56:12.472296
a0:36:bc:88:1f:90;37.2;2.8;67.6;8.0;3.35;41.9;14.16;13.06;72.2;4586.9;29.83;0.0;0.0;2026-09-01 18:56:22.477069
a0:36:bc:88:1f:90;34.5;2.9;67.6;8.0;3.3;41.2;14.46;12.77;71.7;4628.0;29.81;0.0;0.0;2026-09-01 18:56:32.468346
a0:36:bc:88:1f:90;31.9;2.9;67.6;8.0;3.34;41.8;14.61;12.89;72.0;4631.3;29.82;0.0;0.0;2026-09-01 18:56:42.460069
a0:36:bc:88:1f:90;36.0;2.9;67.4;8.0;3.29;41.1;14.29;12.69;72.5;4588.7;29.82;0.0;0.0;2026-09-01 18:56:52.465244
a0:36:bc:88:1f:90;40.7;2.8;66.9;8.0;3.3;41.2;14.6;12.82;70.9;4620.3;29.83;0.0;0.0;2026-09-01 18:57:02.475243
a0:36:bc:88:1f:90;33.7;2.8;67.0;8.0;3.29;41.1;14.39;12.86;72.2;4594.6;29.85;0.0;0.0;2026-09-01 18:57:12.472277
a0:36:bc:88:1f:90;32.3;3.0;67.9;8.0;3.32;41.5;14.71;12.82;72.2;4619.1;29.83;0.0;0.0;2026-09-01 18:57:22.474925
a0:36:bc:88:1f:90;33.5;2.9;67.3;8.0;3.34;41.8;14.71;12.78;72.4;4564.5;29.82;0.0;0.0;2026-09-01 18:57:32.465287
a0:36:bc:88:1f:90;33.2;2.9;67.7;8.0;3.35;41.9;14.63;13.04;72.3;4584.7;29.83;0.0;0.0;2026-09-01 18:57:42.469181
a0:36:bc:88:1f:90;34.9;2.8;65.5;8.0;3.25;40.6;14.38;12.54;72.6;4650.9;29.81;0.0;0.0;2026-09-01 18:57:52.473883
a0:36:bc:88:1f:90;28.4;2.9;66.0;8.0;3.23;40.4;14.45;12.8;71.8;4593.4;29.83;0.0;0.0;2026-09-01 18:58:02.473135
a0:36:bc:88:1f:90;34.6;2.9;66.3;8.0;3.26;40.8;14.58;12.9;71.4;4621.2;29.82;0.0;0.0;2026-09-01 18:58:12.462762
a0:36:bc:88:1f:90;34.4;2.9;66.7;8.0;3.28;41.0;14.69;12.76;72.2;4588.9;29.82;0.0;0.0;2026-09-01 18:58:22.476020
a0:36:bc:88:1f:90;34.0;2.9;66.9;8.0;3.29;41.1;14.25;12.76;71.9;4606.9;29.82;0.0;0.0;2026-09-01 18:58:32.476174
